,Continent,Country
0,Africa,Algeria
1,Africa,Angola
2,Africa,Benin
3,Africa,Botswana
4,Africa,Burkina Faso
5,Africa,Burundi
6,Africa,Cameroon
7,Africa,Central African Rep.
8,Africa,Chad
9,Africa,Congo
10,Africa,C̫te d'Ivoire
11,Africa,Dem. Rep. Congo
12,Africa,Djibouti
13,Africa,Egypt
14,Africa,Eq. Guinea
15,Africa,Eritrea
16,Africa,Ethiopia
17,Africa,Gabon
18,Africa,Gambia
19,Africa,Ghana
20,Africa,Guinea
21,Africa,Guinea-Bissau
22,Africa,Kenya
23,Africa,Lesotho
24,Africa,Liberia
25,Africa,Libya
26,Africa,Madagascar
27,Africa,Malawi
28,Africa,Mali
29,Africa,Mauritania
30,Africa,Morocco
31,Africa,Mozambique
32,Africa,Namibia
33,Africa,Niger
34,Africa,Nigeria
35,Africa,Rwanda
36,Africa,S. Sudan
37,Africa,Senegal
38,Africa,Sierra Leone
39,Africa,Somalia
40,Africa,Somaliland
41,Africa,South Africa
42,Africa,Sudan
43,Africa,Tanzania
44,Africa,Togo
45,Africa,Tunisia
46,Africa,Uganda
47,Africa,W. Sahara
48,Africa,Zambia
49,Africa,Zimbabwe
50,Africa,eSwatini
51,Antarctica,Antarctica
52,Asia,Afghanistan
53,Asia,Armenia
54,Asia,Azerbaijan
55,Asia,Bangladesh
56,Asia,Bhutan
57,Asia,Brunei
58,Asia,Cambodia
59,Asia,China
60,Asia,Cyprus
61,Asia,Georgia
62,Asia,India
63,Asia,Indonesia
64,Asia,Iran
65,Asia,Iraq
66,Asia,Israel
67,Asia,Japan
68,Asia,Jordan
69,Asia,Kazakhstan
70,Asia,Kuwait
71,Asia,Kyrgyzstan
72,Asia,Laos
73,Asia,Lebanon
74,Asia,Malaysia
75,Asia,Mongolia
76,Asia,Myanmar
77,Asia,N. Cyprus
78,Asia,Nepal
79,Asia,North Korea
80,Asia,Oman
81,Asia,Pakistan
82,Asia,Palestine
83,Asia,Philippines
84,Asia,Qatar
85,Asia,Saudi Arabia
86,Asia,South Korea
87,Asia,Sri Lanka
88,Asia,Syria
89,Asia,Taiwan
90,Asia,Tajikistan
91,Asia,Thailand
92,Asia,Timor-Leste
93,Asia,Turkey
94,Asia,Turkmenistan
95,Asia,United Arab Emirates
96,Asia,Uzbekistan
97,Asia,Vietnam
98,Asia,Yemen
99,Europe,Albania
100,Europe,Austria
101,Europe,Belarus
102,Europe,Belgium
103,Europe,Bosnia and Herz.
104,Europe,Bulgaria
105,Europe,Croatia
106,Europe,Czechia
107,Europe,Denmark
108,Europe,Estonia
109,Europe,Finland
110,Europe,France
111,Europe,Germany
112,Europe,Greece
113,Europe,Hungary
114,Europe,Iceland
115,Europe,Ireland
116,Europe,Italy
117,Europe,Kosovo
118,Europe,Latvia
119,Europe,Lithuania
120,Europe,Luxembourg
121,Europe,Macedonia
122,Europe,Moldova
123,Europe,Montenegro
124,Europe,Netherlands
125,Europe,Norway
126,Europe,Poland
127,Europe,Portugal
128,Europe,Romania
129,Europe,Russia
130,Europe,Serbia
131,Europe,Slovakia
132,Europe,Slovenia
133,Europe,Spain
134,Europe,Sweden
135,Europe,Switzerland
136,Europe,Ukraine
137,Europe,United Kingdom
138,North America,Bahamas
139,North America,Belize
140,North America,Canada
141,North America,Costa Rica
142,North America,Cuba
143,North America,Dominican Rep.
144,North America,El Salvador
145,North America,Greenland
146,North America,Guatemala
147,North America,Haiti
148,North America,Honduras
149,North America,Jamaica
150,North America,Mexico
151,North America,Nicaragua
152,North America,Panama
153,North America,Puerto Rico
154,North America,Trinidad and Tobago
155,North America,United States of America
156,Oceania,Australia
157,Oceania,Fiji
158,Oceania,New Caledonia
159,Oceania,New Zealand
160,Oceania,Papua New Guinea
161,Oceania,Solomon Is.
162,Oceania,Vanuatu
163,Seven seas (open ocean),Fr. S. Antarctic Lands
164,South America,Argentina
165,South America,Bolivia
166,South America,Brazil
167,South America,Chile
168,South America,Colombia
169,South America,Ecuador
170,South America,Falkland Is.
171,South America,Guyana
172,South America,Paraguay
173,South America,Peru
174,South America,Suriname
175,South America,Uruguay
176,South America,Venezuela
